RegistrationNo,ProductName,TotalContent,FirstProve,Period,Toxicity,Company,Remark,ScrapedAt
WP20210194,meperfluthrin,1.2%,2021.08.25,2031.08.24,Lowly Toxic,FUJIAN TENGFENG DAILY CHEMICALS LIMITED,,2026-05-03T19:10:28.528143
WP20210190,dinotefuran,0.5%,2021.08.25,2031.08.24,Lowly Toxic,"JIANGSU SOUTHEAST PLANT PROTECTION CO.,LTD",,2026-05-03T19:10:28.528143
WP20210188,dinotefuran,0.5%,2021.08.25,2031.08.24,Slightly Toxic,"Henan Vision Agricultural Science and Technology Co., Ltd.",2024年11月12日，增加室外红火蚁。,2026-05-03T19:10:28.528143
WP20210178,indoxacarb、imidacloprid,2%,2021.08.25,2031.08.24,Slightly Toxic,"GUANGDONG MAOMING LVYIN AGROCHEMICAL CO.,LTD",,2026-05-03T19:10:28.528143
WP20210162,beta-cyfluthrin、imidacloprid,31%,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Zhongxin Kenong Biological Technology Co.,Ltd",,2026-05-03T19:10:28.528143
WP20210159,transfluthrin,0.9%,2021.08.25,2031.08.24,Slightly Toxic,FUJIAN TENGFENG DAILY CHEMICALS LIMITED,2022年02月17日，变更原毒性低毒。,2026-05-03T19:10:28.528143
PD20211687,etoxazole、bifenazate,45%,2021.08.25,2031.08.24,Lowly Toxic,"Zhumadian Jinxiu Star Crop Science Co., Ltd",2024年4月28日，变更原持有人河南锦绣之星作物保护有限公司。,2026-05-03T19:10:28.528143
PD20211679,glufosinate-ammonium、MCPA,19.5%,2021.08.25,2031.08.24,Lowly Toxic,"Juye Weien Biotechnology Co., Ltd.",2甲4氯二甲铵盐5.5%。2021年12月20日，登记证持有人变更，原持有人为山东慧邦生物科技有限公司。,2026-05-03T19:10:28.528143
PD20211661,acetochlor、oxyfluorfen、pendimethalin,52%,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Taiyang Biotechnology Co., Ltd",,2026-05-03T19:10:28.528143
PD20211660,metamifop、quinclorac,20%,2021.08.25,2031.08.24,Lowly Toxic,"Longkai Crop Science (Shandong) Co., Ltd.",2022年06月13日，变更原持有人蚌埠圣丹生物化工有限公司。2023年9月11日，变更原持有人安徽润农腾辉生物科技有限公司。2024年12月16日，变更原持有人山东利丰收生物科技有限公司。,2026-05-03T19:10:28.528143
PD20211655,glufosinate-ammonium,200克/升,2021.08.25,2031.08.24,Lowly Toxic,"Zhenjiang Jiangnan Chemicals Co., Ltd.",质量分数18.2%。,2026-05-03T19:10:28.528143
PD20211654,fluoroglycofen-ethyl、glyphosate,74.7%,2021.08.25,2031.08.24,Lowly Toxic,"Cangzhou Lanrun biopharmaceutical Co., Ltd.",草甘膦铵盐80%。,2026-05-03T19:10:28.528143
PD20211653,oxyfluorfen、glufosinate-ammonium,32%,2021.08.25,2031.08.24,Lowly Toxic,"Cangzhou Lanrun biopharmaceutical Co., Ltd.",,2026-05-03T19:10:28.528143
PD20211652,fluoroglycofen-ethyl、glufosinate-ammonium,11%,2021.08.25,2031.08.24,Slightly Toxic,"Shandong Guihe Biotechnology Co., Ltd",,2026-05-03T19:10:28.528143
PD20211641,terbuthylazine、nicosulfuron,33%,2021.08.25,2031.08.24,Lowly Toxic,"JILIN JINQIU PESTICIDE CO., LTD",,2026-05-03T19:10:28.528143
PD20211633,sulfentrazone,40%,2021.08.25,2031.08.24,Lowly Toxic,"JIANGSU AGROCHEM LABORATORY CO.,LTD.",,2026-05-03T19:10:28.528143
PD20211632,isoxaflutole,20%,2021.08.25,2031.08.24,Lowly Toxic,"Jiangsu Flag Chemical Industry Co.,Ltd.",,2026-05-03T19:10:28.528143
PD20211631,pyribenzoxim,5%,2021.08.25,2031.08.24,Lowly Toxic,"JIANGSU AGROCHEM LABORATORY CO.,LTD.",,2026-05-03T19:10:28.528143
PD20211630,diflufenican,41%,2021.08.25,2031.08.24,Lowly Toxic,"JIANGSU AGROCHEM LABORATORY CO.,LTD.",,2026-05-03T19:10:28.528143
PD20211621,mesosulfuron-methyl,1%,2021.08.25,2031.08.24,Lowly Toxic,"Xianglin Meifeng Biotechnology (Huai'an) Co., Ltd",,2026-05-03T19:10:28.528143
PD20211620,isoproturon,20%,2021.08.25,2031.08.24,Lowly Toxic,"Xianglin Meifeng Biotechnology (Huai'an) Co., Ltd",,2026-05-03T19:10:28.528143
PD20211618,pinoxaden,5%,2021.08.25,2031.08.24,Lowly Toxic,"Xianglin Meifeng Biotechnology (Huai'an) Co., Ltd",,2026-05-03T19:10:28.528143
PD20211616,mesosulfuron-methyl,30克/升,2021.08.25,2031.08.24,Lowly Toxic,"Jiangsu Flag Chemical Industry Co.,Ltd.",2022年04月02日，变更原持有人淮安国瑞化工有限公司。,2026-05-03T19:10:28.528143
PD20211615,topramezone,15%,2021.08.25,2031.08.24,Lowly Toxic,"Shaanxi Sunger Road BIO-Science Co.,LTD.",,2026-05-03T19:10:28.528143
PD20211614,"2,4-D-ethylhexyl、acetochlor、metribuzin",60%,2021.08.25,2031.08.24,Lowly Toxic,"Brightmart Cropscience Co., Ltd",2022年04月02日，变更原持有人广东省佛山市盈辉作物科学有限公司。 2024年9月29日，增加春大豆田一年生杂草。,2026-05-03T19:10:28.528143
PD20211611,isoproturon、diflufenican,39%,2021.08.25,2031.08.24,Slightly Toxic,"Qingdao Modern Agrochemical Co., Ltd.",2023年7月9日，变更原持有人山东省青岛现代农化有限公司。,2026-05-03T19:10:28.528143
